SAS_No,Parti No,Malzeme Kodu,Teslimat Miktarı
SAS-5581743944,2604141783,121020880,108
SAS-5581743944,2604141782,121020880,108
SAS-5581743944,2604141792,121020889,107
SAS-5581743944,2604141793,121020889,107
SAS-5581743944,2604141776,121020880,108
SAS-5581743944,2604141774,121020880,108
SAS-5581743944,2604141775,121020880,108
SAS-5581743944,2604141743,121020880,107
SAS-5581743944,2604141744,121020880,107
SAS-5581743944,2604141801,121020889,107
SAS-5581743944,2604141798,121020889,107
SAS-5581743944,2604141584,121020880,106
SAS-5581743944,2604141590,121020880,106
SAS-5581743944,2604141588,121020880,106
SAS-5581743944,2604141589,121020880,106
SAS-5581743944,2604141587,121020880,106
SAS-5581743944,2604141591,121020880,106
SAS-5581743944,2604141582,121020880,104
SAS-5581743944,2604141583,121020880,106
SAS-5581743944,2604141580,121020880,103
